code,name,market,secid,date,open,close,high,low,volume,amount,amplitude,pct_chg,chg,turnover,meta_decimal,meta_dktotal,meta_preKPrice
688100,威胜信息,1,1.688100,2025-11-20,35.53,35.27,35.68,35.18,18697,66093945.00,1.42,0.20,0.07,0.38,2,1452,35.2
688100,威胜信息,1,1.688100,2025-11-21,34.85,34.89,35.30,34.41,31627,110243617.00,2.52,-1.08,-0.38,0.64,2,1452,35.2
688100,威胜信息,1,1.688100,2025-11-24,34.90,34.79,35.25,34.34,22448,77831415.00,2.61,-0.29,-0.10,0.46,2,1452,35.2
688100,威胜信息,1,1.688100,2025-11-25,34.82,35.09,35.32,34.70,19299,67746620.00,1.78,0.86,0.30,0.39,2,1452,35.2
688100,威胜信息,1,1.688100,2025-11-26,35.26,35.10,35.58,35.01,18749,66078379.00,1.62,0.03,0.01,0.38,2,1452,35.2
688100,威胜信息,1,1.688100,2025-11-27,35.00,34.81,35.43,34.78,17346,60972394.00,1.85,-0.83,-0.29,0.35,2,1452,35.2
688100,威胜信息,1,1.688100,2025-11-28,34.75,35.04,35.10,34.41,18021,62655827.00,1.98,0.66,0.23,0.37,2,1452,35.2
688100,威胜信息,1,1.688100,2025-12-01,35.10,35.36,35.39,34.93,20430,72026285.00,1.31,0.91,0.32,0.42,2,1452,35.2
688100,威胜信息,1,1.688100,2025-12-02,35.40,34.61,35.40,34.51,20144,70272030.00,2.52,-2.12,-0.75,0.41,2,1452,35.2
688100,威胜信息,1,1.688100,2025-12-03,34.89,34.75,35.08,34.60,13477,46925405.00,1.39,0.40,0.14,0.27,2,1452,35.2
688100,威胜信息,1,1.688100,2025-12-04,34.66,34.88,34.95,34.45,11184,38855104.00,1.44,0.37,0.13,0.23,2,1452,35.2
688100,威胜信息,1,1.688100,2025-12-05,34.76,35.22,35.25,34.64,17333,60762253.00,1.75,0.97,0.34,0.35,2,1452,35.2
688100,威胜信息,1,1.688100,2025-12-08,35.38,35.39,35.49,35.18,15591,55134402.00,0.88,0.48,0.17,0.32,2,1452,35.2
688100,威胜信息,1,1.688100,2025-12-09,35.20,34.82,35.45,34.78,13182,46169656.00,1.89,-1.61,-0.57,0.27,2,1452,35.2
688100,威胜信息,1,1.688100,2025-12-10,34.90,35.55,35.66,34.37,24096,84617306.00,3.70,2.10,0.73,0.49,2,1452,35.2
688100,威胜信息,1,1.688100,2025-12-11,35.52,35.49,35.93,35.40,18542,66034279.00,1.49,-0.17,-0.06,0.38,2,1452,35.2
688100,威胜信息,1,1.688100,2025-12-12,35.43,36.21,36.32,35.43,27372,98700951.00,2.51,2.03,0.72,0.56,2,1452,35.2
688100,威胜信息,1,1.688100,2025-12-15,36.03,36.51,36.84,35.96,25455,93066369.00,2.43,0.83,0.30,0.52,2,1452,35.2
688100,威胜信息,1,1.688100,2025-12-16,36.40,35.79,36.40,35.63,24958,89485314.00,2.11,-1.97,-0.72,0.51,2,1452,35.2
688100,威胜信息,1,1.688100,2025-12-17,35.65,36.30,36.37,35.40,21267,76371843.00,2.71,1.42,0.51,0.43,2,1452,35.2
