code,name,market,secid,date,open,close,high,low,volume,amount,amplitude,pct_chg,chg,turnover,meta_decimal,meta_dktotal,meta_preKPrice
688348,昱能科技,1,1.688348,2025-11-20,61.50,58.90,61.82,58.50,30995,185262133.00,5.39,-4.35,-2.68,1.98,2,879,61.58
688348,昱能科技,1,1.688348,2025-11-21,58.00,54.10,58.19,54.05,42875,238211610.00,7.03,-8.15,-4.80,2.74,2,879,61.58
688348,昱能科技,1,1.688348,2025-11-24,54.83,54.20,55.47,53.16,28854,156101393.00,4.27,0.18,0.10,1.85,2,879,61.58
688348,昱能科技,1,1.688348,2025-11-25,54.50,54.38,55.47,54.20,22557,123611005.00,2.34,0.33,0.18,1.44,2,879,61.58
688348,昱能科技,1,1.688348,2025-11-26,54.50,53.42,55.37,53.20,27208,147366831.00,3.99,-1.77,-0.96,1.74,2,879,61.58
688348,昱能科技,1,1.688348,2025-11-27,53.22,53.60,54.69,53.20,20479,110502830.00,2.79,0.34,0.18,1.31,2,879,61.58
688348,昱能科技,1,1.688348,2025-11-28,53.50,54.21,54.60,53.19,15694,84987220.00,2.63,1.14,0.61,1.00,2,879,61.58
688348,昱能科技,1,1.688348,2025-12-01,54.14,53.92,54.79,53.86,18999,102864015.00,1.72,-0.53,-0.29,1.22,2,879,61.58
688348,昱能科技,1,1.688348,2025-12-02,53.80,52.60,53.90,52.40,17589,93095572.00,2.78,-2.45,-1.32,1.13,2,879,61.58
688348,昱能科技,1,1.688348,2025-12-03,52.70,51.50,52.98,51.40,17356,90015677.00,3.00,-2.09,-1.10,1.11,2,879,61.58
688348,昱能科技,1,1.688348,2025-12-04,51.49,50.45,51.87,50.20,19216,97345725.00,3.24,-2.04,-1.05,1.23,2,879,61.58
688348,昱能科技,1,1.688348,2025-12-05,50.45,52.10,52.18,50.02,20372,104706933.00,4.28,3.27,1.65,1.30,2,879,61.58
688348,昱能科技,1,1.688348,2025-12-08,52.12,52.39,52.77,51.80,16697,87425244.00,1.86,0.56,0.29,1.07,2,879,61.58
688348,昱能科技,1,1.688348,2025-12-09,52.20,51.70,52.64,51.60,10839,56283235.00,1.99,-1.32,-0.69,0.69,2,879,61.58
688348,昱能科技,1,1.688348,2025-12-10,51.54,51.20,52.07,50.25,14937,75870828.00,3.52,-0.97,-0.50,0.96,2,879,61.58
688348,昱能科技,1,1.688348,2025-12-11,51.40,50.60,52.28,50.49,16563,85090742.00,3.50,-1.17,-0.60,1.06,2,879,61.58
688348,昱能科技,1,1.688348,2025-12-12,50.70,51.43,52.00,50.61,13375,68667966.00,2.75,1.64,0.83,0.86,2,879,61.58
688348,昱能科技,1,1.688348,2025-12-15,51.44,52.23,52.85,51.41,20389,106695198.00,2.80,1.56,0.80,1.30,2,879,61.58
688348,昱能科技,1,1.688348,2025-12-16,52.00,50.20,52.20,49.88,19837,100273217.00,4.44,-3.89,-2.03,1.27,2,879,61.58
688348,昱能科技,1,1.688348,2025-12-17,50.18,50.80,50.99,49.31,16391,82233340.00,3.35,1.20,0.60,1.05,2,879,61.58
688348,昱能科技,1,1.688348,2025-12-18,50.50,50.21,51.00,50.20,9565,48343908.00,1.57,-1.16,-0.59,0.61,2,879,61.58
688348,昱能科技,1,1.688348,2025-12-19,50.21,50.98,51.18,50.21,9396,47772149.00,1.93,1.53,0.77,0.60,2,879,61.58
688348,昱能科技,1,1.688348,2025-12-22,51.05,50.85,51.80,50.74,12929,66350732.00,2.08,-0.26,-0.13,0.83,2,879,61.58
688348,昱能科技,1,1.688348,2025-12-23,50.91,50.68,51.46,50.52,10761,54702297.00,1.85,-0.33,-0.17,0.69,2,879,61.58
688348,昱能科技,1,1.688348,2025-12-24,50.70,51.99,51.99,50.23,13156,67746014.00,3.47,2.58,1.31,0.84,2,879,61.58
688348,昱能科技,1,1.688348,2025-12-25,51.99,52.64,52.75,51.60,13551,70768236.00,2.21,1.25,0.65,0.87,2,879,61.58
688348,昱能科技,1,1.688348,2025-12-26,52.64,53.13,54.44,52.64,27768,148982781.00,3.42,0.93,0.49,1.78,2,879,61.58
688348,昱能科技,1,1.688348,2025-12-29,52.60,52.44,53.36,52.30,15779,83279281.00,2.00,-1.30,-0.69,1.01,2,879,61.58
688348,昱能科技,1,1.688348,2025-12-30,52.10,52.11,52.76,51.91,10817,56531321.00,1.62,-0.63,-0.33,0.69,2,879,61.58
688348,昱能科技,1,1.688348,2025-12-31,52.13,50.39,52.30,50.31,24654,125496933.00,3.82,-3.30,-1.72,1.58,2,879,61.58
688348,昱能科技,1,1.688348,2026-01-05,50.40,51.28,51.47,50.40,15793,80781138.00,2.12,1.77,0.89,1.01,2,879,61.58
688348,昱能科技,1,1.688348,2026-01-06,51.35,53.47,53.66,51.35,28711,152413008.00,4.50,4.27,2.19,1.84,2,879,61.58
688348,昱能科技,1,1.688348,2026-01-07,53.28,53.70,53.97,53.01,20733,111020603.00,1.80,0.43,0.23,1.33,2,879,61.58
688348,昱能科技,1,1.688348,2026-01-08,53.49,54.84,55.00,53.01,30505,165981841.00,3.71,2.12,1.14,1.95,2,879,61.58
688348,昱能科技,1,1.688348,2026-01-09,54.84,54.30,56.39,54.01,30012,164463493.00,4.34,-0.98,-0.54,1.92,2,879,61.58
688348,昱能科技,1,1.688348,2026-01-12,53.66,55.24,55.44,53.53,37353,204770359.00,3.52,1.73,0.94,2.39,2,879,61.58
688348,昱能科技,1,1.688348,2026-01-13,55.16,54.60,55.48,54.13,30463,166664548.00,2.44,-1.16,-0.64,1.95,2,879,61.58
688348,昱能科技,1,1.688348,2026-01-14,54.50,54.64,56.66,53.70,43086,238210067.00,5.42,0.07,0.04,2.76,2,879,61.58
688348,昱能科技,1,1.688348,2026-01-15,54.63,54.37,55.43,54.01,22246,121488473.00,2.60,-0.49,-0.27,1.42,2,879,61.58
688348,昱能科技,1,1.688348,2026-01-16,54.49,55.88,56.27,54.31,30665,169239613.00,3.60,2.78,1.51,1.96,2,879,61.58
