code,name,market,secid,date,open,close,high,low,volume,amount,amplitude,pct_chg,chg,turnover,meta_decimal,meta_dktotal,meta_preKPrice
688219,会通股份,1,1.688219,2020-11-18,35.62,38.87,41.71,32.22,346390,1242045280.00,119.97,391.40,30.96,83.49,2,1254,7.91
688219,会通股份,1,1.688219,2020-11-19,39.86,34.82,41.84,34.62,286894,1094529024.00,18.57,-10.42,-4.05,69.15,2,1254,7.91
688219,会通股份,1,1.688219,2020-11-20,32.73,33.95,35.19,31.42,212662,711756224.00,10.83,-2.50,-0.87,51.26,2,1254,7.91
688219,会通股份,1,1.688219,2020-11-23,33.18,30.29,33.44,30.20,170458,544815424.00,9.54,-10.78,-3.66,41.08,2,1254,7.91
688219,会通股份,1,1.688219,2020-11-24,29.46,29.87,31.22,29.37,96545,293947584.00,6.11,-1.39,-0.42,23.27,2,1254,7.91
688219,会通股份,1,1.688219,2020-11-25,30.26,27.86,30.40,27.59,123223,356949888.00,9.41,-6.73,-2.01,29.70,2,1254,7.91
688219,会通股份,1,1.688219,2020-11-26,27.57,27.49,28.50,27.12,72039,202459610.00,4.95,-1.33,-0.37,17.36,2,1254,7.91
688219,会通股份,1,1.688219,2020-11-27,27.42,27.32,28.07,26.24,91152,251149720.00,6.66,-0.62,-0.17,21.97,2,1254,7.91
688219,会通股份,1,1.688219,2020-11-30,27.08,27.12,27.77,26.63,57437,158589993.00,4.17,-0.73,-0.20,13.84,2,1254,7.91
688219,会通股份,1,1.688219,2020-12-01,27.22,27.14,27.80,27.03,51091,141512882.00,2.84,0.07,0.02,12.31,2,1254,7.91
688219,会通股份,1,1.688219,2020-12-02,27.34,26.23,27.57,26.22,68042,184638487.00,4.97,-3.35,-0.91,16.40,2,1254,7.91
688219,会通股份,1,1.688219,2020-12-03,26.13,24.97,26.34,24.97,71899,185239477.00,5.22,-4.80,-1.26,17.33,2,1254,7.91
688219,会通股份,1,1.688219,2020-12-04,24.92,24.99,25.94,24.72,50534,130124425.00,4.89,0.08,0.02,12.18,2,1254,7.91
688219,会通股份,1,1.688219,2020-12-07,24.99,24.51,25.12,24.42,39598,99101003.00,2.80,-1.92,-0.48,9.54,2,1254,7.91
688219,会通股份,1,1.688219,2020-12-08,24.62,25.20,25.20,24.51,37737,95428237.00,2.82,2.82,0.69,9.10,2,1254,7.91
688219,会通股份,1,1.688219,2020-12-09,25.27,23.94,25.46,23.86,37404,93703633.00,6.35,-5.00,-1.26,9.01,2,1254,7.91
688219,会通股份,1,1.688219,2020-12-10,23.70,22.69,23.80,22.65,48293,113530732.00,4.80,-5.22,-1.25,11.64,2,1254,7.91
688219,会通股份,1,1.688219,2020-12-11,22.80,21.86,22.87,21.51,46206,103042525.00,5.99,-3.66,-0.83,11.14,2,1254,7.91
688219,会通股份,1,1.688219,2020-12-14,21.90,21.68,22.07,21.29,28852,63683866.00,3.57,-0.82,-0.18,6.95,2,1254,7.91
688219,会通股份,1,1.688219,2020-12-15,21.62,21.89,22.30,21.52,28426,63538646.00,3.60,0.97,0.21,6.85,2,1254,7.91
688219,会通股份,1,1.688219,2020-12-16,21.90,21.43,22.45,21.23,30402,67896785.00,5.57,-2.10,-0.46,7.33,2,1254,7.91
688219,会通股份,1,1.688219,2020-12-17,21.37,21.65,21.90,20.63,32932,71331761.00,5.93,1.03,0.22,7.94,2,1254,7.91
688219,会通股份,1,1.688219,2020-12-18,21.82,21.90,22.22,21.40,32090,71479037.00,3.79,1.15,0.25,7.73,2,1254,7.91
688219,会通股份,1,1.688219,2020-12-21,21.91,22.75,22.85,21.72,41172,94117810.00,5.16,3.88,0.85,9.92,2,1254,7.91
688219,会通股份,1,1.688219,2020-12-22,22.27,21.85,22.74,21.82,36441,82399845.00,4.04,-3.96,-0.90,8.78,2,1254,7.91
688219,会通股份,1,1.688219,2020-12-23,21.93,20.78,22.09,20.67,37976,81807729.00,6.50,-4.90,-1.07,9.15,2,1254,7.91
688219,会通股份,1,1.688219,2020-12-24,20.56,19.82,20.57,19.65,34231,69698841.00,4.43,-4.62,-0.96,8.25,2,1254,7.91
688219,会通股份,1,1.688219,2020-12-25,19.66,19.70,20.25,19.42,18629,37831737.00,4.19,-0.61,-0.12,4.49,2,1254,7.91
688219,会通股份,1,1.688219,2020-12-28,19.72,18.59,19.97,18.52,31176,60500198.00,7.36,-5.63,-1.11,7.51,2,1254,7.91
688219,会通股份,1,1.688219,2020-12-29,18.59,18.50,18.92,18.41,20447,38855419.00,2.74,-0.48,-0.09,4.93,2,1254,7.91
688219,会通股份,1,1.688219,2020-12-30,18.33,18.41,18.67,18.22,20870,39320177.00,2.43,-0.49,-0.09,5.03,2,1254,7.91
688219,会通股份,1,1.688219,2020-12-31,18.38,18.70,19.00,18.36,20639,39402825.00,3.48,1.58,0.29,4.97,2,1254,7.91
688219,会通股份,1,1.688219,2021-01-04,18.59,18.98,19.03,18.23,29649,56293267.00,4.28,1.50,0.28,7.15,2,1254,7.91
688219,会通股份,1,1.688219,2021-01-05,18.72,18.23,18.84,18.02,32285,60513707.00,4.32,-3.95,-0.75,7.78,2,1254,7.91
688219,会通股份,1,1.688219,2021-01-06,18.41,17.51,18.52,17.41,27855,50560456.00,6.09,-3.95,-0.72,6.71,2,1254,7.91
688219,会通股份,1,1.688219,2021-01-07,16.93,16.47,17.51,16.45,34709,59736320.00,6.05,-5.94,-1.04,8.37,2,1254,7.91
688219,会通股份,1,1.688219,2021-01-08,16.42,15.92,16.74,15.80,32087,53034262.00,5.71,-3.34,-0.55,7.73,2,1254,7.91
688219,会通股份,1,1.688219,2021-01-11,16.50,16.20,17.00,15.98,44327,74797194.00,6.41,1.76,0.28,10.68,2,1254,7.91
688219,会通股份,1,1.688219,2021-01-12,16.00,15.68,16.32,15.50,31702,51459635.00,5.06,-3.21,-0.52,7.64,2,1254,7.91
688219,会通股份,1,1.688219,2021-01-13,15.84,15.94,16.42,15.72,36748,60245504.00,4.46,1.66,0.26,8.86,2,1254,7.91
688219,会通股份,1,1.688219,2021-01-14,15.92,16.09,16.57,15.30,41213,67633257.00,7.97,0.94,0.15,9.93,2,1254,7.91
688219,会通股份,1,1.688219,2021-01-15,15.84,16.91,17.36,15.84,54352,93399385.00,9.45,5.10,0.82,13.10,2,1254,7.91
688219,会通股份,1,1.688219,2021-01-18,16.82,17.37,17.92,16.63,52811,94103809.00,7.63,2.72,0.46,12.73,2,1254,7.91
688219,会通股份,1,1.688219,2021-01-19,17.54,17.13,17.54,17.02,31115,54870199.00,2.99,-1.38,-0.24,7.50,2,1254,7.91
688219,会通股份,1,1.688219,2021-01-20,17.24,16.93,17.33,16.62,26521,45673077.00,4.14,-1.17,-0.20,6.39,2,1254,7.91
