code,name,market,secid,date,open,close,high,low,volume,amount,amplitude,pct_chg,chg,turnover,meta_decimal,meta_dktotal,meta_preKPrice
688230,芯导科技,1,1.688230,2021-12-01,99.40,94.10,109.60,93.83,99481,1971378528.00,23.66,41.19,27.45,74.49,2,1002,66.65
688230,芯导科技,1,1.688230,2021-12-02,89.70,84.11,91.65,84.03,54890,955760080.00,8.10,-10.62,-9.99,41.10,2,1002,66.65
688230,芯导科技,1,1.688230,2021-12-03,84.25,85.89,89.63,82.08,36486,634728032.00,8.98,2.12,1.78,27.32,2,1002,66.65
688230,芯导科技,1,1.688230,2021-12-06,85.11,79.75,85.11,79.49,33630,551315392.00,6.54,-7.15,-6.14,25.18,2,1002,66.65
688230,芯导科技,1,1.688230,2021-12-07,80.01,76.95,80.97,75.53,23051,359143568.00,6.82,-3.51,-2.80,17.26,2,1002,66.65
688230,芯导科技,1,1.688230,2021-12-08,76.78,77.12,78.73,76.08,16116,251025253.00,3.44,0.22,0.17,12.07,2,1002,66.65
688230,芯导科技,1,1.688230,2021-12-09,76.44,77.76,79.43,76.44,19235,303688752.00,3.88,0.83,0.64,14.40,2,1002,66.65
688230,芯导科技,1,1.688230,2021-12-10,76.96,74.88,78.21,74.45,19823,300473120.00,4.84,-3.70,-2.88,14.84,2,1002,66.65
688230,芯导科技,1,1.688230,2021-12-13,74.40,75.11,75.86,73.89,11684,176389052.00,2.63,0.31,0.23,8.75,2,1002,66.65
688230,芯导科技,1,1.688230,2021-12-14,74.23,75.47,76.07,74.15,14197,214485610.00,2.56,0.48,0.36,10.63,2,1002,66.65
688230,芯导科技,1,1.688230,2021-12-15,75.01,77.36,78.24,74.91,19782,308083936.00,4.41,2.50,1.89,14.81,2,1002,66.65
688230,芯导科技,1,1.688230,2021-12-16,77.51,75.57,77.91,75.31,15200,232699008.00,3.36,-2.31,-1.79,11.38,2,1002,66.65
