code,name,market,secid,date,open,close,high,low,volume,amount,amplitude,pct_chg,chg,turnover,meta_decimal,meta_dktotal,meta_preKPrice
688798,艾为电子,1,1.688798,2021-08-16,179.05,185.33,199.76,179.05,227265,6044076032.00,38.53,244.80,131.58,71.07,2,1072,53.75
688798,艾为电子,1,1.688798,2021-08-17,184.69,176.04,184.69,170.48,69848,1746636608.00,7.67,-5.01,-9.29,21.84,2,1072,53.75
688798,艾为电子,1,1.688798,2021-08-18,174.05,180.47,180.66,167.28,43857,1082573664.00,7.60,2.52,4.43,13.72,2,1072,53.75
688798,艾为电子,1,1.688798,2021-08-19,177.62,186.92,196.80,177.26,44188,1189730592.00,10.83,3.57,6.45,13.82,2,1072,53.75
688798,艾为电子,1,1.688798,2021-08-20,184.76,191.91,197.33,177.69,35443,950532320.00,10.51,2.67,4.99,11.08,2,1072,53.75
688798,艾为电子,1,1.688798,2021-08-23,191.91,187.98,193.91,183.48,27531,728225280.00,5.43,-2.05,-3.93,8.61,2,1072,53.75
688798,艾为电子,1,1.688798,2021-08-24,184.78,189.05,196.19,179.19,23985,640372864.00,9.04,0.57,1.07,7.50,2,1072,53.75
688798,艾为电子,1,1.688798,2021-08-25,186.98,179.76,190.31,179.76,18878,487210192.00,5.58,-4.91,-9.29,5.90,2,1072,53.75
688798,艾为电子,1,1.688798,2021-08-26,180.48,173.33,183.45,173.33,15049,376172512.00,5.63,-3.58,-6.43,4.71,2,1072,53.75
688798,艾为电子,1,1.688798,2021-08-27,171.19,169.05,176.55,167.26,16053,385800560.00,5.36,-2.47,-4.28,5.02,2,1072,53.75
688798,艾为电子,1,1.688798,2021-08-30,167.58,169.02,172.14,161.40,16524,387871232.00,6.35,-0.02,-0.03,5.17,2,1072,53.75
688798,艾为电子,1,1.688798,2021-08-31,166.91,164.78,169.46,161.26,14138,329020224.00,4.85,-2.51,-4.24,4.42,2,1072,53.75
688798,艾为电子,1,1.688798,2021-09-01,166.51,158.41,166.51,156.17,18674,420401840.00,6.28,-3.87,-6.37,5.84,2,1072,53.75
688798,艾为电子,1,1.688798,2021-09-02,155.72,161.08,171.55,155.72,15838,368910704.00,9.99,1.69,2.67,4.95,2,1072,53.75
688798,艾为电子,1,1.688798,2021-09-03,161.17,166.90,169.33,157.11,11896,275065344.00,7.59,3.61,5.82,3.72,2,1072,53.75
688798,艾为电子,1,1.688798,2021-09-06,165.48,165.76,171.18,164.28,9631,226699477.00,4.13,-0.68,-1.14,3.01,2,1072,53.75
688798,艾为电子,1,1.688798,2021-09-07,168.48,166.19,169.05,162.08,5924,137568507.00,4.20,0.26,0.43,1.85,2,1072,53.75
688798,艾为电子,1,1.688798,2021-09-08,165.62,168.35,169.83,162.26,7845,183317446.00,4.56,1.30,2.16,2.45,2,1072,53.75
688798,艾为电子,1,1.688798,2021-09-09,165.48,171.19,173.44,165.48,7641,183735678.00,4.73,1.69,2.84,2.39,2,1072,53.75
688798,艾为电子,1,1.688798,2021-09-10,171.54,171.90,174.68,168.73,11854,286508656.00,3.48,0.41,0.71,3.71,2,1072,53.75
688798,艾为电子,1,1.688798,2021-09-13,170.33,166.91,172.41,161.55,12840,302277280.00,6.32,-2.90,-4.99,4.02,2,1072,53.75
688798,艾为电子,1,1.688798,2021-09-14,166.20,169.83,170.11,164.19,5108,121213730.00,3.55,1.75,2.92,1.60,2,1072,53.75
688798,艾为电子,1,1.688798,2021-09-15,169.89,165.77,171.91,165.69,4210,99524806.00,3.66,-2.39,-4.06,1.32,2,1072,53.75
688798,艾为电子,1,1.688798,2021-09-16,164.77,161.21,168.63,161.19,5174,120219907.00,4.49,-2.75,-4.56,1.62,2,1072,53.75
688798,艾为电子,1,1.688798,2021-09-17,162.61,161.17,164.08,155.48,5168,115956449.00,5.33,-0.02,-0.04,1.62,2,1072,53.75
688798,艾为电子,1,1.688798,2021-09-22,158.33,166.19,166.91,157.63,4209,96423151.00,5.76,3.11,5.02,1.32,2,1072,53.75
688798,艾为电子,1,1.688798,2021-09-23,166.26,170.71,171.76,163.70,5033,119585342.00,4.85,2.72,4.52,1.57,2,1072,53.75
