code,name,market,secid,date,open,close,high,low,volume,amount,amplitude,pct_chg,chg,turnover,meta_decimal,meta_dktotal,meta_preKPrice
688330,宏力达,1,1.688330,2025-11-20,38.77,38.62,39.28,37.92,24841,96106221.00,3.50,-0.64,-0.25,1.77,2,1278,38.87
688330,宏力达,1,1.688330,2025-11-21,38.00,38.23,39.10,37.36,36174,138185036.00,4.51,-1.01,-0.39,2.58,2,1278,38.87
688330,宏力达,1,1.688330,2025-11-24,38.43,37.56,38.60,36.39,27371,101943257.00,5.78,-1.75,-0.67,1.96,2,1278,38.87
688330,宏力达,1,1.688330,2025-11-25,37.97,38.25,38.88,37.62,25957,99677958.00,3.35,1.84,0.69,1.85,2,1278,38.87
688330,宏力达,1,1.688330,2025-11-26,38.34,37.86,38.69,37.54,23539,89485753.00,3.01,-1.02,-0.39,1.68,2,1278,38.87
688330,宏力达,1,1.688330,2025-11-27,37.78,38.65,39.09,37.56,29380,113421561.00,4.04,2.09,0.79,2.10,2,1278,38.87
688330,宏力达,1,1.688330,2025-11-28,38.59,40.21,40.33,38.58,36724,145417517.00,4.53,4.04,1.56,2.62,2,1278,38.87
688330,宏力达,1,1.688330,2025-12-01,40.60,41.83,42.17,39.58,48286,198224457.00,6.44,4.03,1.62,3.45,2,1278,38.87
688330,宏力达,1,1.688330,2025-12-02,41.60,39.67,41.73,39.66,38057,153422055.00,4.95,-5.16,-2.16,2.72,2,1278,38.87
688330,宏力达,1,1.688330,2025-12-03,39.75,38.79,39.77,38.42,23165,90145115.00,3.40,-2.22,-0.88,1.65,2,1278,38.87
688330,宏力达,1,1.688330,2025-12-04,39.30,41.40,41.87,38.80,55441,224870089.00,7.91,6.73,2.61,3.96,2,1278,38.87
688330,宏力达,1,1.688330,2025-12-05,40.75,39.62,40.95,38.70,52879,208434638.00,5.43,-4.30,-1.78,3.78,2,1278,38.87
