code,name,market,secid,date,open,close,high,low,volume,amount,amplitude,pct_chg,chg,turnover,meta_decimal,meta_dktotal,meta_preKPrice
688172,燕东微,1,1.688172,2025-11-20,25.18,24.38,25.46,24.18,113983,280127875.00,4.97,-5.43,-1.40,1.95,2,748,25.78
688172,燕东微,1,1.688172,2025-11-21,24.00,22.75,24.16,22.67,115547,267888048.00,6.11,-6.69,-1.63,1.97,2,748,25.78
688172,燕东微,1,1.688172,2025-11-24,22.90,22.66,23.17,22.54,72300,164489775.00,2.77,-0.40,-0.09,1.24,2,748,25.78
688172,燕东微,1,1.688172,2025-11-25,22.72,23.01,23.66,22.72,81835,190283995.00,4.15,1.54,0.35,1.40,2,748,25.78
688172,燕东微,1,1.688172,2025-11-26,22.92,24.22,25.18,22.80,150968,368707709.00,10.34,5.26,1.21,2.58,2,748,25.78
688172,燕东微,1,1.688172,2025-11-27,24.18,24.83,25.55,24.10,121438,305295900.00,5.99,2.52,0.61,2.07,2,748,25.78
688172,燕东微,1,1.688172,2025-11-28,24.68,24.98,25.60,24.40,85386,213438040.00,4.83,0.60,0.15,1.46,2,748,25.78
688172,燕东微,1,1.688172,2025-12-01,24.70,25.01,25.29,24.40,82787,204884443.00,3.56,0.12,0.03,1.41,2,748,25.78
688172,燕东微,1,1.688172,2025-12-02,24.96,24.05,25.01,23.97,53085,128852451.00,4.16,-3.84,-0.96,0.91,2,748,25.78
688172,燕东微,1,1.688172,2025-12-03,24.08,23.75,24.30,23.51,56936,135898042.00,3.28,-1.25,-0.30,0.97,2,748,25.78
688172,燕东微,1,1.688172,2025-12-04,23.77,24.29,24.74,23.55,68591,166082399.00,5.01,2.27,0.54,1.17,2,748,25.78
688172,燕东微,1,1.688172,2025-12-05,24.25,24.32,24.67,23.70,41999,101280720.00,3.99,0.12,0.03,0.72,2,748,25.78
688172,燕东微,1,1.688172,2025-12-08,24.30,24.97,25.25,24.08,82030,203276032.00,4.81,2.67,0.65,1.40,2,748,25.78
688172,燕东微,1,1.688172,2025-12-09,24.90,24.64,25.25,24.39,55267,136859275.00,3.44,-1.32,-0.33,0.94,2,748,25.78
688172,燕东微,1,1.688172,2025-12-10,24.52,24.88,25.16,24.21,62814,155601087.00,3.86,0.97,0.24,1.07,2,748,25.78
688172,燕东微,1,1.688172,2025-12-11,24.89,24.65,25.17,24.48,62032,153775249.00,2.77,-0.92,-0.23,1.06,2,748,25.78
688172,燕东微,1,1.688172,2025-12-12,24.70,28.80,29.44,24.70,355923,986067466.00,19.23,16.84,4.15,6.08,2,748,25.78
688172,燕东微,1,1.688172,2025-12-15,27.89,27.00,28.28,26.93,233115,642014383.00,4.69,-6.25,-1.80,3.98,2,748,25.78
