code,name,market,secid,date,open,close,high,low,volume,amount,amplitude,pct_chg,chg,turnover,meta_decimal,meta_dktotal,meta_preKPrice
688327,云从科技-UW,1,1.688327,2022-05-27,17.14,15.29,17.90,14.04,547836,1196352048.00,35.15,39.25,4.31,73.67,2,890,10.98
688327,云从科技-UW,1,1.688327,2022-05-30,15.57,13.89,15.79,13.77,348092,713143904.00,13.21,-9.16,-1.40,46.81,2,890,10.98
688327,云从科技-UW,1,1.688327,2022-05-31,13.64,18.73,19.46,13.29,542046,1200181440.00,44.42,34.85,4.84,72.89,2,890,10.98
688327,云从科技-UW,1,1.688327,2022-06-01,18.21,19.54,19.99,17.90,461015,1217576544.00,11.16,4.32,0.81,61.99,2,890,10.98
688327,云从科技-UW,1,1.688327,2022-06-02,19.29,23.07,25.07,18.71,463704,1383867952.00,32.55,18.07,3.53,62.36,2,890,10.98
688327,云从科技-UW,1,1.688327,2022-06-06,23.99,23.75,24.79,22.64,353424,1166689984.00,9.32,2.95,0.68,47.53,2,890,10.98
688327,云从科技-UW,1,1.688327,2022-06-07,23.16,25.63,26.14,22.36,331140,1128857616.00,15.92,7.92,1.88,44.53,2,890,10.98
688327,云从科技-UW,1,1.688327,2022-06-08,25.00,22.56,25.36,22.38,317082,1057185248.00,11.63,-11.98,-3.07,42.64,2,890,10.98
688327,云从科技-UW,1,1.688327,2022-06-09,22.43,21.04,23.11,20.63,290640,878432928.00,10.99,-6.74,-1.52,39.08,2,890,10.98
688327,云从科技-UW,1,1.688327,2022-06-10,20.79,20.25,21.19,20.09,209799,604728464.00,5.23,-3.75,-0.79,28.21,2,890,10.98
688327,云从科技-UW,1,1.688327,2022-06-13,20.22,20.69,21.15,19.86,212150,608430096.00,6.37,2.17,0.44,28.53,2,890,10.98
688327,云从科技-UW,1,1.688327,2022-06-14,20.06,19.07,20.14,18.03,226085,601192576.00,10.20,-7.83,-1.62,30.40,2,890,10.98
688327,云从科技-UW,1,1.688327,2022-06-15,19.20,18.79,19.89,18.64,174398,470010624.00,6.55,-1.47,-0.28,23.45,2,890,10.98
688327,云从科技-UW,1,1.688327,2022-06-16,18.78,18.77,19.54,18.59,132071,352182656.00,5.06,-0.11,-0.02,17.76,2,890,10.98
688327,云从科技-UW,1,1.688327,2022-06-17,18.67,18.98,19.46,18.18,142076,374297568.00,6.82,1.12,0.21,19.11,2,890,10.98
688327,云从科技-UW,1,1.688327,2022-06-20,19.45,19.26,20.06,19.14,140911,385880080.00,4.85,1.48,0.28,18.95,2,890,10.98
688327,云从科技-UW,1,1.688327,2022-06-21,19.11,19.21,19.88,19.04,115182,312761968.00,4.36,-0.26,-0.05,15.49,2,890,10.98
688327,云从科技-UW,1,1.688327,2022-06-22,19.08,17.50,19.36,17.50,169890,434049488.00,9.68,-8.90,-1.71,22.85,2,890,10.98
688327,云从科技-UW,1,1.688327,2022-06-23,17.84,17.56,17.86,17.29,100304,246513167.00,3.26,0.34,0.06,13.49,2,890,10.98
688327,云从科技-UW,1,1.688327,2022-06-24,17.85,17.61,18.27,17.61,103649,260628769.00,3.76,0.28,0.05,13.94,2,890,10.98
688327,云从科技-UW,1,1.688327,2022-06-27,17.65,18.42,18.89,17.46,138210,352970112.00,8.12,4.60,0.81,18.59,2,890,10.98
688327,云从科技-UW,1,1.688327,2022-06-28,18.36,19.32,20.20,17.78,175300,468602208.00,13.14,4.89,0.90,23.57,2,890,10.98
688327,云从科技-UW,1,1.688327,2022-06-29,19.29,18.49,19.89,18.36,135167,361707216.00,7.92,-4.30,-0.83,18.18,2,890,10.98
688327,云从科技-UW,1,1.688327,2022-06-30,18.46,17.71,18.49,17.57,137974,345945760.00,4.98,-4.22,-0.78,17.19,2,890,10.98
688327,云从科技-UW,1,1.688327,2022-07-01,17.49,16.79,17.91,16.68,117600,281876640.00,6.95,-5.19,-0.92,14.65,2,890,10.98
688327,云从科技-UW,1,1.688327,2022-07-04,16.68,16.81,17.06,16.59,69677,163826210.00,2.80,0.12,0.02,8.68,2,890,10.98
688327,云从科技-UW,1,1.688327,2022-07-05,17.04,16.59,17.24,16.36,82901,194567038.00,5.23,-1.31,-0.22,10.33,2,890,10.98
688327,云从科技-UW,1,1.688327,2022-07-06,16.51,16.69,17.15,16.47,71033,166981865.00,4.10,0.60,0.10,8.85,2,890,10.98
688327,云从科技-UW,1,1.688327,2022-07-07,16.76,16.19,17.04,16.07,68688,157063878.00,5.81,-3.00,-0.50,8.56,2,890,10.98
