code,name,market,secid,date,open,close,high,low,volume,amount,amplitude,pct_chg,chg,turnover,meta_decimal,meta_dktotal,meta_preKPrice
688278,特宝生物,1,1.688278,2025-11-20,77.78,77.80,78.63,77.40,12077,94471870.00,1.58,0.03,0.02,0.30,2,1454,77.78
688278,特宝生物,1,1.688278,2025-11-21,77.76,78.36,79.29,76.75,19107,149577054.00,3.26,0.72,0.56,0.47,2,1454,77.78
688278,特宝生物,1,1.688278,2025-11-24,78.11,78.48,79.01,77.00,14515,113414485.00,2.57,0.15,0.12,0.36,2,1454,77.78
688278,特宝生物,1,1.688278,2025-11-25,78.73,77.83,79.38,77.51,12879,100844702.00,2.38,-0.83,-0.65,0.32,2,1454,77.78
688278,特宝生物,1,1.688278,2025-11-26,78.18,76.42,78.64,75.12,19512,149322606.00,4.52,-1.81,-1.41,0.48,2,1454,77.78
688278,特宝生物,1,1.688278,2025-11-27,76.00,76.68,77.70,75.50,11899,91278528.00,2.88,0.34,0.26,0.29,2,1454,77.78
688278,特宝生物,1,1.688278,2025-11-28,76.99,77.81,77.99,76.41,9646,74638035.00,2.06,1.47,1.13,0.24,2,1454,77.78
688278,特宝生物,1,1.688278,2025-12-01,77.50,80.00,80.40,77.04,20971,167161712.00,4.32,2.81,2.19,0.51,2,1454,77.78
688278,特宝生物,1,1.688278,2025-12-02,80.00,80.33,80.84,79.33,11485,92253930.00,1.89,0.41,0.33,0.28,2,1454,77.78
688278,特宝生物,1,1.688278,2025-12-03,80.20,82.62,83.00,80.18,22647,186447946.00,3.51,2.85,2.29,0.55,2,1454,77.78
688278,特宝生物,1,1.688278,2025-12-04,82.69,81.78,82.91,81.60,11598,95274151.00,1.59,-1.02,-0.84,0.28,2,1454,77.78
688278,特宝生物,1,1.688278,2025-12-05,81.96,81.57,82.49,80.33,14218,115581400.00,2.64,-0.26,-0.21,0.35,2,1454,77.78
688278,特宝生物,1,1.688278,2025-12-08,81.94,83.18,84.10,81.94,21740,181433357.00,2.65,1.97,1.61,0.53,2,1454,77.78
688278,特宝生物,1,1.688278,2025-12-09,83.31,83.63,84.13,82.47,12845,107056096.00,2.00,0.54,0.45,0.31,2,1454,77.78
688278,特宝生物,1,1.688278,2025-12-10,83.49,83.54,83.96,82.55,10740,89473009.00,1.69,-0.11,-0.09,0.26,2,1454,77.78
688278,特宝生物,1,1.688278,2025-12-11,83.62,83.96,84.38,83.21,11540,96872602.00,1.40,0.50,0.42,0.28,2,1454,77.78
688278,特宝生物,1,1.688278,2025-12-12,84.01,84.01,84.80,82.95,13833,116619882.00,2.20,0.06,0.05,0.34,2,1454,77.78
688278,特宝生物,1,1.688278,2025-12-15,84.01,85.15,85.35,83.60,20652,175591852.00,2.08,1.36,1.14,0.51,2,1454,77.78
688278,特宝生物,1,1.688278,2025-12-16,85.15,83.30,85.50,82.96,20260,170225208.00,2.98,-2.17,-1.85,0.50,2,1454,77.78
688278,特宝生物,1,1.688278,2025-12-17,83.12,83.54,84.48,82.51,12655,105796112.00,2.36,0.29,0.24,0.31,2,1454,77.78
688278,特宝生物,1,1.688278,2025-12-18,83.12,82.95,84.75,82.28,13545,112357847.00,2.96,-0.71,-0.59,0.33,2,1454,77.78
688278,特宝生物,1,1.688278,2025-12-19,82.78,85.00,85.57,82.78,21860,185495366.00,3.36,2.47,2.05,0.54,2,1454,77.78
688278,特宝生物,1,1.688278,2025-12-22,85.30,84.44,85.50,84.04,11476,97348248.00,1.72,-0.66,-0.56,0.28,2,1454,77.78
688278,特宝生物,1,1.688278,2025-12-23,84.52,84.46,84.93,84.00,7768,65627309.00,1.10,0.02,0.02,0.19,2,1454,77.78
