code,name,market,secid,date,open,close,high,low,volume,amount,amplitude,pct_chg,chg,turnover,meta_decimal,meta_dktotal,meta_preKPrice
688362,甬矽电子,1,1.688362,2025-11-20,31.76,30.40,31.90,30.17,71137,218690662.00,5.52,-3.03,-0.95,1.73,2,770,31.35
688362,甬矽电子,1,1.688362,2025-11-21,30.02,29.05,30.61,29.02,74818,220944979.00,5.23,-4.44,-1.35,1.82,2,770,31.35
688362,甬矽电子,1,1.688362,2025-11-24,29.24,29.30,29.56,28.76,44784,130566771.00,2.75,0.86,0.25,1.09,2,770,31.35
688362,甬矽电子,1,1.688362,2025-11-25,29.60,30.11,31.09,29.60,87659,267127525.00,5.09,2.76,0.81,2.14,2,770,31.35
688362,甬矽电子,1,1.688362,2025-11-26,29.99,30.12,30.60,29.71,60997,184302465.00,2.96,0.03,0.01,1.49,2,770,31.35
688362,甬矽电子,1,1.688362,2025-11-27,30.17,30.14,31.05,30.03,74229,227034687.00,3.39,0.07,0.02,1.81,2,770,31.35
688362,甬矽电子,1,1.688362,2025-11-28,30.02,30.84,31.47,29.82,90634,278142304.00,5.47,2.32,0.70,2.21,2,770,31.35
688362,甬矽电子,1,1.688362,2025-12-01,30.99,31.36,31.40,30.45,75989,235141210.00,3.08,1.69,0.52,1.85,2,770,31.35
688362,甬矽电子,1,1.688362,2025-12-02,31.20,31.16,31.27,30.66,58269,180190258.00,1.95,-0.64,-0.20,1.42,2,770,31.35
688362,甬矽电子,1,1.688362,2025-12-03,31.16,30.36,31.16,30.26,62023,189840702.00,2.89,-2.57,-0.80,1.51,2,770,31.35
688362,甬矽电子,1,1.688362,2025-12-04,30.34,30.62,30.70,29.85,44257,134196385.00,2.80,0.86,0.26,1.08,2,770,31.35
688362,甬矽电子,1,1.688362,2025-12-05,30.69,30.88,31.05,30.10,58297,178286946.00,3.10,0.85,0.26,1.42,2,770,31.35
688362,甬矽电子,1,1.688362,2025-12-08,31.19,32.17,32.32,31.09,94017,299472744.00,3.98,4.18,1.29,2.29,2,770,31.35
688362,甬矽电子,1,1.688362,2025-12-09,31.96,32.11,32.47,31.80,63783,205318381.00,2.08,-0.19,-0.06,1.55,2,770,31.35
688362,甬矽电子,1,1.688362,2025-12-10,31.86,31.98,32.15,31.60,46649,148624390.00,1.71,-0.40,-0.13,1.14,2,770,31.35
688362,甬矽电子,1,1.688362,2025-12-11,31.98,31.56,32.40,31.50,53410,170419046.00,2.81,-1.31,-0.42,1.30,2,770,31.35
688362,甬矽电子,1,1.688362,2025-12-12,31.56,32.16,32.56,30.75,86164,273122743.00,5.74,1.90,0.60,2.10,2,770,31.35
688362,甬矽电子,1,1.688362,2025-12-15,32.16,33.00,33.93,32.10,169024,561162724.00,5.69,2.61,0.84,4.12,2,770,31.35
688362,甬矽电子,1,1.688362,2025-12-16,32.60,31.77,33.14,31.48,103173,332875652.00,5.03,-3.73,-1.23,2.51,2,770,31.35
688362,甬矽电子,1,1.688362,2025-12-17,31.75,31.95,32.17,30.81,71925,226464305.00,4.28,0.57,0.18,1.75,2,770,31.35
688362,甬矽电子,1,1.688362,2025-12-18,31.58,31.20,32.08,31.18,55110,173922523.00,2.82,-2.35,-0.75,1.34,2,770,31.35
688362,甬矽电子,1,1.688362,2025-12-19,31.30,30.59,31.58,30.51,76046,235785290.00,3.43,-1.96,-0.61,1.85,2,770,31.35
688362,甬矽电子,1,1.688362,2025-12-22,30.80,32.20,32.45,30.78,111096,354928781.00,5.46,5.26,1.61,2.71,2,770,31.35
688362,甬矽电子,1,1.688362,2025-12-23,32.03,32.16,32.55,31.82,51977,167105516.00,2.27,-0.12,-0.04,1.27,2,770,31.35
688362,甬矽电子,1,1.688362,2025-12-24,32.09,32.38,32.58,31.91,61694,198982476.00,2.08,0.68,0.22,1.50,2,770,31.35
688362,甬矽电子,1,1.688362,2025-12-25,32.25,33.00,33.40,32.11,84436,277983999.00,3.98,1.91,0.62,2.06,2,770,31.35
688362,甬矽电子,1,1.688362,2025-12-26,32.77,32.51,33.16,32.38,60072,196757900.00,2.36,-1.48,-0.49,1.46,2,770,31.35
688362,甬矽电子,1,1.688362,2025-12-29,32.54,33.08,33.86,32.40,98458,326591512.00,4.49,1.75,0.57,2.40,2,770,31.35
688362,甬矽电子,1,1.688362,2025-12-30,32.66,32.95,33.78,32.66,85503,283814829.00,3.39,-0.39,-0.13,2.08,2,770,31.35
688362,甬矽电子,1,1.688362,2025-12-31,33.16,32.41,33.48,32.36,61115,200085399.00,3.40,-1.64,-0.54,1.49,2,770,31.35
688362,甬矽电子,1,1.688362,2026-01-05,33.00,34.18,34.37,32.73,158978,539042114.00,5.06,5.46,1.77,3.87,2,770,31.35
688362,甬矽电子,1,1.688362,2026-01-06,33.63,36.50,36.92,33.63,238025,853439061.00,9.63,6.79,2.32,5.80,2,770,31.35
688362,甬矽电子,1,1.688362,2026-01-07,36.80,38.45,39.98,36.00,316266,1200309043.00,10.90,5.34,1.95,7.70,2,770,31.35
688362,甬矽电子,1,1.688362,2026-01-08,38.77,40.77,42.57,38.40,403831,1662296780.00,10.85,6.03,2.32,9.84,2,770,31.35
688362,甬矽电子,1,1.688362,2026-01-09,40.77,41.96,43.50,40.45,316869,1331127724.00,7.48,2.92,1.19,7.72,2,770,31.35
688362,甬矽电子,1,1.688362,2026-01-12,41.94,41.55,41.94,39.90,211865,870626957.00,4.86,-0.98,-0.41,5.16,2,770,31.35
688362,甬矽电子,1,1.688362,2026-01-13,42.50,41.63,43.49,41.20,177533,749058232.00,5.51,0.19,0.08,4.32,2,770,31.35
688362,甬矽电子,1,1.688362,2026-01-14,41.35,41.91,42.93,40.88,157707,660081384.00,4.92,0.67,0.28,3.84,2,770,31.35
688362,甬矽电子,1,1.688362,2026-01-15,42.79,43.51,44.39,41.66,189844,816198721.00,6.51,3.82,1.60,4.62,2,770,31.35
688362,甬矽电子,1,1.688362,2026-01-16,45.30,52.21,52.21,43.80,379759,1811711673.00,19.33,20.00,8.70,9.25,2,770,31.35
