code,name,market,secid,date,open,close,high,low,volume,amount,amplitude,pct_chg,chg,turnover,meta_decimal,meta_dktotal,meta_preKPrice
688080,映翰通,1,1.688080,2025-11-20,48.55,48.61,48.87,47.81,12596,60971953.00,2.20,0.96,0.46,1.71,2,1442,48.15
688080,映翰通,1,1.688080,2025-11-21,48.26,46.50,48.58,46.50,16663,78743658.00,4.28,-4.34,-2.11,2.26,2,1442,48.15
688080,映翰通,1,1.688080,2025-11-24,46.85,47.46,47.79,46.59,11124,52429651.00,2.58,2.06,0.96,1.51,2,1442,48.15
688080,映翰通,1,1.688080,2025-11-25,47.78,48.36,49.44,47.78,17593,85745164.00,3.50,1.90,0.90,2.39,2,1442,48.15
688080,映翰通,1,1.688080,2025-11-26,48.36,47.95,48.95,47.88,10468,50640550.00,2.21,-0.85,-0.41,1.42,2,1442,48.15
688080,映翰通,1,1.688080,2025-11-27,47.96,48.47,49.06,47.96,12046,58656001.00,2.29,1.08,0.52,1.64,2,1442,48.15
688080,映翰通,1,1.688080,2025-11-28,48.39,48.89,49.00,48.39,8816,43034679.00,1.26,0.87,0.42,1.20,2,1442,48.15
688080,映翰通,1,1.688080,2025-12-01,49.02,49.62,49.86,48.73,13507,66916046.00,2.31,1.49,0.73,1.83,2,1442,48.15
688080,映翰通,1,1.688080,2025-12-02,49.75,49.00,49.75,48.81,7984,39226044.00,1.89,-1.25,-0.62,1.08,2,1442,48.15
688080,映翰通,1,1.688080,2025-12-03,49.18,48.60,49.18,48.16,8324,40522041.00,2.08,-0.82,-0.40,1.13,2,1442,48.15
688080,映翰通,1,1.688080,2025-12-04,48.32,48.40,48.58,47.82,6800,32801644.00,1.56,-0.41,-0.20,0.92,2,1442,48.15
688080,映翰通,1,1.688080,2025-12-05,48.40,49.13,49.17,47.77,10315,50225364.00,2.89,1.51,0.73,1.40,2,1442,48.15
688080,映翰通,1,1.688080,2025-12-08,49.14,49.92,50.27,49.14,12760,63628700.00,2.30,1.61,0.79,1.73,2,1442,48.15
688080,映翰通,1,1.688080,2025-12-09,49.95,49.58,50.26,49.57,9373,46775490.00,1.38,-0.68,-0.34,1.27,2,1442,48.15
688080,映翰通,1,1.688080,2025-12-10,49.50,49.65,49.85,48.95,9731,48016811.00,1.82,0.14,0.07,1.32,2,1442,48.15
688080,映翰通,1,1.688080,2025-12-11,49.65,48.80,49.96,48.61,9231,45417675.00,2.72,-1.71,-0.85,1.25,2,1442,48.15
688080,映翰通,1,1.688080,2025-12-12,48.55,49.57,49.86,48.50,10393,51342985.00,2.79,1.58,0.77,1.41,2,1442,48.15
688080,映翰通,1,1.688080,2025-12-15,49.73,49.03,49.73,48.91,8731,43028374.00,1.65,-1.09,-0.54,1.19,2,1442,48.15
688080,映翰通,1,1.688080,2025-12-16,48.91,48.21,49.09,48.03,11563,55911556.00,2.16,-1.67,-0.82,1.57,2,1442,48.15
688080,映翰通,1,1.688080,2025-12-17,48.22,48.70,48.84,47.50,11622,56030262.00,2.78,1.02,0.49,1.58,2,1442,48.15
688080,映翰通,1,1.688080,2025-12-18,48.40,50.10,50.65,48.38,20943,104782725.00,4.66,2.87,1.40,2.84,2,1442,48.15
688080,映翰通,1,1.688080,2025-12-19,49.95,50.30,51.14,49.95,15017,76162476.00,2.38,0.40,0.20,2.04,2,1442,48.15
688080,映翰通,1,1.688080,2025-12-22,50.67,50.55,51.20,50.43,12278,62426003.00,1.53,0.50,0.25,1.67,2,1442,48.15
688080,映翰通,1,1.688080,2025-12-23,50.51,50.20,50.77,50.02,10098,50881123.00,1.48,-0.69,-0.35,1.37,2,1442,48.15
688080,映翰通,1,1.688080,2025-12-24,50.27,50.90,51.06,50.00,10482,53164884.00,2.11,1.39,0.70,1.42,2,1442,48.15
688080,映翰通,1,1.688080,2025-12-25,50.90,51.04,51.28,50.42,15057,76636026.00,1.69,0.28,0.14,2.04,2,1442,48.15
688080,映翰通,1,1.688080,2025-12-26,50.95,51.07,51.73,50.52,15964,81608648.00,2.37,0.06,0.03,2.17,2,1442,48.15
688080,映翰通,1,1.688080,2025-12-29,51.16,50.47,51.40,50.02,12636,63773845.00,2.70,-1.17,-0.60,1.72,2,1442,48.15
688080,映翰通,1,1.688080,2025-12-30,50.47,50.60,51.15,50.16,11316,57510446.00,1.96,0.26,0.13,1.54,2,1442,48.15
688080,映翰通,1,1.688080,2025-12-31,50.61,50.50,50.90,50.17,9589,48454475.00,1.44,-0.20,-0.10,1.30,2,1442,48.15
688080,映翰通,1,1.688080,2026-01-05,50.96,52.16,52.18,50.82,19052,98696648.00,2.69,3.29,1.66,2.59,2,1442,48.15
688080,映翰通,1,1.688080,2026-01-06,52.00,52.38,52.75,51.91,17719,92762962.00,1.61,0.42,0.22,2.41,2,1442,48.15
688080,映翰通,1,1.688080,2026-01-07,52.38,52.00,52.68,51.80,16900,88208424.00,1.68,-0.73,-0.38,2.29,2,1442,48.15
688080,映翰通,1,1.688080,2026-01-08,54.50,56.72,57.39,53.90,70801,395041435.00,6.71,9.08,4.72,9.61,2,1442,48.15
688080,映翰通,1,1.688080,2026-01-09,56.00,57.70,59.68,56.00,60590,350329217.00,6.49,1.73,0.98,8.23,2,1442,48.15
688080,映翰通,1,1.688080,2026-01-12,57.67,58.71,59.03,56.85,48515,282167868.00,3.78,1.75,1.01,6.59,2,1442,48.15
688080,映翰通,1,1.688080,2026-01-13,59.05,57.61,59.68,57.61,38430,224625883.00,3.53,-1.87,-1.10,5.22,2,1442,48.15
688080,映翰通,1,1.688080,2026-01-14,59.82,69.13,69.13,59.82,115159,761037709.00,16.16,20.00,11.52,15.63,2,1442,48.15
688080,映翰通,1,1.688080,2026-01-15,67.42,62.77,67.90,62.24,102032,653831984.00,8.19,-9.20,-6.36,13.85,2,1442,48.15
688080,映翰通,1,1.688080,2026-01-16,64.50,63.60,65.98,63.52,66272,427092156.00,3.92,1.32,0.83,9.00,2,1442,48.15
