code,name,down_date,up_date,last_date,last_close,last_ma120,window_days,ma_window
688112,鼎阳科技,2025-12-30,2026-01-05,2026-01-16,41.4300,37.8908,20,120
688622,禾信仪器,2025-12-24,2026-01-07,2026-01-20,108.6600,114.4218,20,120
688613,奥精医疗,2025-12-23,2026-01-08,2026-01-20,23.2000,22.1107,20,120
688010,福光股份,2025-12-22,2025-12-25,2026-01-16,33.3400,30.7124,20,120
688021,奥福科技,2025-12-22,2025-12-24,2026-01-16,20.1100,18.9351,20,120
688580,伟思医疗,2025-12-26,2025-12-29,2026-01-20,57.9500,50.8797,20,120
688508,芯朋微,2025-12-26,2026-01-05,2026-01-20,65.4500,62.6365,20,120
688301,奕瑞科技,2025-12-24,2025-12-25,2026-01-20,115.4600,106.5133,20,120
688515,裕太微-U,2025-12-31,2026-01-05,2026-01-20,114.8100,106.2861,20,120
688065,凯赛生物,2025-12-25,2025-12-26,2026-01-16,56.3900,50.3365,20,120
688235,百济神州-U,2025-12-30,2026-01-05,2026-01-19,294.5000,280.2822,20,120
688499,利元亨,2025-12-26,2025-12-30,2026-01-20,63.3600,60.4484,20,120
688557,兰剑智能,2025-12-26,2025-12-30,2026-01-20,40.5700,37.3257,20,120
688158,优刻得-W,2025-12-23,2025-12-26,2026-01-16,28.7000,25.6677,20,120
688206,概伦电子,2025-12-23,2025-12-24,2026-01-16,40.8600,36.1856,20,120
688099,晶晨股份,2025-12-29,2025-12-30,2026-01-16,93.8700,89.2659,20,120
688608,恒玄科技,2026-01-13,2026-01-14,2026-01-20,231.2100,244.5103,20,120
688022,瀚川智能,2025-12-26,2026-01-07,2026-01-16,16.3400,15.6174,20,120
688563,航材股份,2025-12-22,2025-12-24,2026-01-20,62.6300,55.6217,20,120
688408,中信博,2026-01-13,2026-01-19,2026-01-20,46.0400,46.5946,20,120
688222,成都先导,2025-12-31,2026-01-05,2026-01-16,35.2000,24.6371,20,120
688165,埃夫特-U,2026-01-05,2026-01-12,2026-01-16,23.9300,23.4380,20,120
688517,金冠电气,2025-12-30,2026-01-05,2026-01-20,17.8300,15.9583,20,120
