code,name,price_field,window_days,include_equal,window_start,last_date,last_price,prior_max,window_max,last_high,last_close
688045,必易微,high,20,false,2025-12-18,2026-01-16,43.6800,42.4700,43.6800,43.6800,43.1100
688019,安集科技,high,20,false,2025-12-18,2026-01-16,302.5800,283.3800,302.5800,302.5800,302.5800
688329,艾隆科技,high,20,false,2025-12-23,2026-01-21,24.7500,24.4800,24.7500,24.7500,24.6600
688398,赛特新材,high,20,false,2025-12-23,2026-01-21,20.5400,19.1700,20.5400,20.5400,20.1500
688113,联测科技,high,20,false,2025-12-18,2026-01-16,43.2200,42.2900,43.2200,43.2200,42.7100
688138,清溢光电,high,20,false,2025-12-18,2026-01-16,32.5600,31.5400,32.5600,32.5600,32.1700
688502,茂莱光学,high,20,false,2025-12-23,2026-01-21,451.0000,444.0500,451.0000,451.0000,435.8000
688536,思瑞浦,high,20,false,2025-12-23,2026-01-21,199.9100,183.4900,199.9100,199.9100,196.6300
688565,力源科技,high,20,false,2025-12-23,2026-01-21,13.4800,13.2300,13.4800,13.4800,13.4800
688135,利扬芯片,high,20,false,2025-12-18,2026-01-16,35.6000,33.6800,35.6000,35.6000,34.6000
688005,容百科技,high,20,false,2025-12-15,2026-01-13,37.6700,37.5000,37.6700,37.6700,37.3500
688345,博力威,high,20,false,2025-12-23,2026-01-21,36.5000,36.3600,36.5000,36.5000,36.4400
688170,德龙激光,high,20,false,2025-12-18,2026-01-16,38.0000,37.2000,38.0000,38.0000,37.3300
688279,峰岹科技,high,20,false,2025-12-23,2026-01-21,234.9700,234.0000,234.9700,234.9700,228.4700
688551,科威尔,high,20,false,2025-12-23,2026-01-21,42.6900,42.4300,42.6900,42.6900,42.0500
688550,瑞联新材,high,20,false,2025-12-23,2026-01-21,50.7600,50.5000,50.7600,50.7600,50.5800
688576,西山科技,high,20,false,2025-12-23,2026-01-21,79.8800,71.4900,79.8800,79.8800,76.8000
688234,天岳先进,high,20,false,2025-12-23,2026-01-21,116.3600,114.9400,116.3600,116.3600,114.6400
688610,埃科光电,high,20,false,2025-12-23,2026-01-21,100.0000,96.6300,100.0000,100.0000,93.4800
688548,广钢气体,high,20,false,2025-12-23,2026-01-21,25.0000,23.3000,25.0000,25.0000,23.2800
688285,高铁电气,high,20,false,2025-12-23,2026-01-21,9.8500,9.7400,9.8500,9.8500,9.7000
688783,西安奕材-U,high,20,false,2025-12-23,2026-01-21,28.1500,27.6400,28.1500,28.1500,27.1500
688700,东威科技,high,20,false,2025-12-23,2026-01-21,41.4100,39.8600,41.4100,41.4100,41.3000
688416,恒烁股份,high,20,false,2025-12-23,2026-01-21,82.4400,79.8800,82.4400,82.4400,78.0200
688012,中微公司,high,20,false,2025-12-05,2026-01-16,397.3000,374.5500,397.3000,397.3000,377.1400
688187,时代电气,high,20,false,2025-12-18,2026-01-16,55.8200,53.3200,55.8200,55.8200,53.6000
688001,华兴源创,high,20,false,2025-12-18,2026-01-16,33.8700,32.9500,33.8700,33.8700,33.5200
688638,誉辰智能,high,20,false,2025-12-23,2026-01-21,41.5300,40.8800,41.5300,41.5300,40.8600
688181,八亿时空,high,20,false,2025-12-18,2026-01-16,38.2500,37.6200,38.2500,38.2500,37.8000
688262,国芯科技,high,20,false,2025-12-23,2026-01-21,37.6100,37.3000,37.6100,37.6100,35.9900
688120,华海清科,high,20,false,2025-12-18,2026-01-16,196.6600,186.5000,196.6600,196.6600,195.5000
688179,阿拉丁,high,20,false,2025-12-18,2026-01-16,16.6800,14.7300,16.6800,16.6800,16.2200
688531,日联科技,high,20,false,2025-12-23,2026-01-21,79.0300,78.9900,79.0300,79.0300,78.6900
